,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Geothermal,Nuclear
98,2009-03-01,2344.08986583,172.877416667,53.8417041667,10.1991833333,17186.1733725,484.6805125,9522.3605325,111.53711,2125.15408167,1071.32903667,2692.144
99,2009-04-01,2323.22086333,170.755464167,53.4305716667,8.13445916667,17244.9600033,481.022599167,9656.01119417,110.489305833,2115.39960917,1069.34299833,2652.71383333
100,2009-05-01,2312.16952417,171.9839325,53.6077416667,6.940845,17258.3804142,476.252616667,9756.15651083,107.814261667,2104.7122625,1066.70488583,2590.06641667
101,2009-06-01,2331.44008917,175.133669167,55.7307816667,6.72665333333,17189.9225958,475.261484167,9661.84307167,105.611615,2104.36667,1066.72820583,2597.715
102,2009-07-01,2421.5799225,176.615565,59.1256008333,6.31969333333,17190.1526617,476.687610833,9579.22015833,103.0003725,2108.60139,1066.68401083,2600.23108333
103,2009-08-01,2461.1565125,178.723065,60.9701141667,6.23467666667,17010.6504375,480.5343725,9345.60490667,98.4663866667,2110.68800333,1064.57378917,2610.98058333
104,2009-09-01,2502.95570917,179.690403333,62.5576091667,5.30810833333,16966.795025,484.944095,9221.52648667,95.3931691667,2116.81594833,1063.50810583,2642.55325
105,2009-10-01,2535.86800917,180.368050833,63.9556475,4.76435916667,16801.2820292,490.879148333,8980.59082083,92.27778,2123.84614083,1062.38302167,2683.00458333
106,2009-11-01,2551.73318833,179.0178,63.2894825,4.79381166667,16910.1992175,488.022485,9077.6701025,89.7634058333,2112.58407667,1055.1817875,2693.95291667
107,2009-12-01,2621.10127083,174.883004167,63.9811883333,4.61882083333,16988.9642,493.782619167,9100.691365,87.5136266667,2116.664215,1053.73145417,2683.8735
108,2010-01-01,2785.905835,175.01844,64.1109125,4.47155666667,17010.466295,506.5526675,8960.19278917,83.8025133333,2120.81008667,1050.00816667,2683.39641667
109,2010-02-01,2948.08677833,176.152279167,63.9796766667,4.42054333333,16983.7787658,513.527393333,8763.20241667,81.3374333333,2125.49211833,1049.3558875,2695.44866667
110,2010-03-01,3026.37007667,175.086951667,65.1309825,4.32917,16967.6618675,530.914940833,8623.98562167,80.0457225,2142.95666,1049.37203083,2718.69116667
111,2010-04-01,3181.590685,177.955818333,65.0413275,4.32850916667,16929.4758158,548.678983333,8307.441305,79.3337933333,2162.4482475,1050.11379917,2809.149
112,2010-05-01,3350.6255875,177.791413333,65.6513016667,4.27585916667,16930.8119292,583.246173333,8045.84887833,78.8820158333,2195.6747725,1048.4437225,2870.74016667
113,2010-06-01,3448.53890583,177.062459167,65.21048,4.27376916667,16867.2238125,611.374401667,7924.07882667,78.7459975,2226.28364583,1048.8469625,2801.04483333
114,2010-07-01,3493.43164167,175.168026667,65.9196308333,3.89825666667,16851.5315533,624.156384167,7877.34092333,77.5451616667,2233.483945,1044.97708417,2785.977
115,2010-08-01,3561.57255333,173.6249425,65.5350308333,3.97432583333,16812.6198492,619.5149225,7780.07292333,78.5318783333,2226.41599083,1044.24369333,2785.35616667
116,2010-09-01,3604.91128833,172.326591667,68.3771133333,4.17239666667,16777.4669458,634.252163333,7697.54306583,78.9287433333,2240.84894833,1043.18382917,2777.30808333
117,2010-10-01,3654.80458333,169.623925833,69.6557775,4.4853125,16797.2024192,631.869335833,7699.6977375,77.890245,2236.7948175,1041.09891417,2754.28933333
118,2010-11-01,3680.00598167,169.5096875,73.21211,4.18478583333,16686.3840783,635.515943333,7430.2650925,76.9124966667,2250.59940833,1046.75947917,2880.1415
119,2010-12-01,3670.77058,168.30857,72.8537441667,4.12793083333,16667.1538467,645.834270833,7299.37358917,73.9273558333,2262.2820775,1046.67448417,2986.10541667
120,2011-01-01,3546.45557417,165.181865833,74.0691175,3.88522,16733.7368733,645.986418333,7414.48589583,71.9957458333,2268.53545417,1046.0319175,3055.27058333
121,2011-02-01,3384.87059417,160.1290675,74.3306175,4.21344083333,16768.8286242,661.447001667,7573.36730333,71.7363216667,2282.26622,1040.09770167,3069.53191667
122,2011-03-01,3278.10824417,157.815066667,74.4792083333,4.98321833333,16765.0585567,674.107361667,7740.99586167,69.1144491667,2297.79699167,1037.97527917,2985.7355
123,2011-04-01,3077.46582417,156.608020833,77.6770775,5.3481975,16700.7882267,687.217413333,7996.51223667,67.5331836364,2314.3755975,1034.32764083,2856.70775
124,2011-05-01,2885.61616667,151.420495833,81.5063758333,6.64871416667,16595.912145,671.218354167,8269.12475917,60.6987354545,2304.706745,1036.84426583,2685.57558333
125,2011-06-01,2748.23193083,143.267795833,87.8228283333,7.13216416667,16654.6849808,695.36229,8582.3476575,58.829586,2336.74596333,1035.50008417,2544.27383333
126,2011-07-01,2587.499805,140.296708333,95.2863475,8.13300083333,16672.5254258,723.774155,8894.3616525,56.9250411111,2374.72622667,1037.9955,2378.30358333
127,2011-08-01,2444.87858333,136.01075,101.8373475,8.43968416667,16586.8649325,734.734980833,9088.08626083,52.948135,2393.11516083,1038.87329417,2236.90616667
128,2011-09-01,2356.138365,133.498083333,102.920349167,8.95396083333,16682.7477908,742.4410625,9401.17440333,48.6195514286,2404.04749833,1039.01530583,2102.50075
129,2011-10-01,2289.28618833,131.251020833,106.7663,9.17227333333,16724.4123525,756.988656667,9598.59367917,45.3544016667,2427.34249167,1041.37129583,1989.46058333
